variable,coefficient,effect_type,z_stat,p_value,significance,cluster_id
uwind_850,0.039454160698240516,Direct (β),3.0059979721160404,0.002647107631436289,***,3
uwind_950,-0.038513919988236854,Direct (β),-3.263769142135884,0.001099407076264587,***,3
Vwind_850,-0.0253443701280541,Direct (β),-1.536953356691441,0.12430473192217129,,3
Vwind_950,-0.011314290100966212,Direct (β),-0.83420870997324,0.4041633838265548,,3
total_precipitation,0.018124870363474564,Direct (β),1.2742897079091404,0.2025607626653475,,3
lag_temperature_2m,-0.09736390216948453,Indirect (θ),-6.957927726416884,3.453142728661776e-12,***,3
lag_humidity_950,-0.013061428463693733,Indirect (θ),-3.8644967694393717,0.00011131846324234605,***,3
lag_blh,0.0047647265621332605,Indirect (θ),1.2419075172831944,0.2142706862162419,,3
lag_solar_radiation_downwards,-0.1284118262357023,Indirect (θ),-9.293600577230618,1.4915533105695212e-20,***,3
lag_wind_u_10m,-0.011225930426318581,Indirect (θ),-4.578947938950208,4.673204841455305e-06,***,3
lag_wind_v_10m,0.0064139380702421915,Indirect (θ),3.032255236126837,0.0024273386351348915,***,3
lag_uwind_850,-0.005951284518889947,Indirect (θ),-2.4523399781393493,0.014193049213346326,**,3
lag_uwind_950,0.014417591324009117,Indirect (θ),5.999792829014732,1.975694348633299e-09,***,3
lag_Vwind_850,0.006151777849307441,Indirect (θ),2.24769465713245,0.024595666935397185,**,3
lag_Vwind_950,0.006911668216732277,Indirect (θ),2.9281461788288987,0.003409896880355874,***,3
lag_total_precipitation,-0.013808854347917994,Indirect (θ),-5.508210959930223,3.6249883610056504e-08,***,3
W_log_pm10,0.7141793520560267,Direct (β),94.16870004099695,0.0,***,3
W_log_pm10,0.6976965642439573,Endogenous (ρ),,,,4
temperature_2m,-0.006175686667961262,Direct (β),-0.12523087903031632,0.900340771736246,,4
humidity_950,-0.0007273570472474747,Direct (β),-0.06396684223283615,0.9489966287813021,,4
blh,0.005561491829366001,Direct (β),0.3908571612500284,0.6959028204489071,,4
solar_radiation_downwards,-0.1604603645036023,Direct (β),-4.818352542893922,1.4474844310962141e-06,***,4
wind_u_10m,0.007668631607227368,Direct (β),0.952456502222649,0.3408655159040602,,4
wind_v_10m,-0.003811316185291666,Direct (β),-0.5228662201246944,0.6010673533098398,,4
uwind_850,-0.011417528449664857,Direct (β),-1.0876875987802137,0.2767330442368595,,4
uwind_950,0.01874026960154601,Direct (β),2.2627845603991097,0.023648973130509964,**,4
Vwind_850,0.02151797186513114,Direct (β),1.9599948570448844,0.04999639141777781,**,4
Vwind_950,-0.002207554109372134,Direct (β),-0.406853057013871,0.6841159155870491,,4
total_precipitation,-0.006140067557809933,Direct (β),-0.7342721151970407,0.46278290922797327,,4
lag_temperature_2m,0.0007844004114837561,Indirect (θ),0.09477399193352457,0.9244943452957467,,4
lag_humidity_950,-0.005251679213953183,Indirect (θ),-2.4380346813779425,0.014767357141317983,**,4
lag_blh,-0.014678529759331718,Indirect (θ),-5.514863526475976,3.490507095693185e-08,***,4
lag_solar_radiation_downwards,0.023477561238468295,Indirect (θ),4.019845919572122,5.823621606086729e-05,***,4
lag_wind_u_10m,-0.005115438581022421,Indirect (θ),-2.311534315272122,0.0208033600100451,**,4
lag_wind_v_10m,-0.0012451231771131843,Indirect (θ),-0.7150472714232124,0.4745798340367028,,4
lag_uwind_850,0.002197694914198335,Indirect (θ),0.9996583970126103,0.3174758519438199,,4
lag_uwind_950,-0.0037513799964438085,Indirect (θ),-1.488276254542314,0.1366780544664167,,4
lag_Vwind_850,-0.0004718979030024317,Indirect (θ),-0.21613475979148944,0.8288827055973049,,4
lag_Vwind_950,0.0021257419273948914,Indirect (θ),1.480836946483828,0.1386500285523474,,4
lag_total_precipitation,-0.008834774518211057,Indirect (θ),-6.304484644394545,2.8915438782026436e-10,***,4
W_log_pm10,0.6976965642439573,Direct (β),102.25689621467794,0.0,***,4
