,Borgo Valsugana,Monte Gaza,Parco S. Chiara,Piana Rotaliana,Riva del Garda,Rovereto,"A22_sud,_Termeno,_c/o_Maso_Binnenland","Brunico_1,_c/o_parcheggio_di_via_Goethe","Bressanone,_c/o_Villa_Adele_in_Via_Stazione",Bolzano_4-Via_C.Augusta,Bolzano_5-P.zza_Adriano,"Laces_1-Via_Stazione,_parcheggio_fs","Laives_1,_c/o_campi_sportivi_zona_Galizia","Merano_1,_Via_Trogman",Bergamo-via_Garibaldi_PM10,Brescia-Broletto_PM10,Calusco_d'Adda_PM10,Filago-via_Don_Milani_PM10,Lallio_PM10,Mantova-p.zza_Gramsci_PM10,Mantova-S.Agnese_PM10,Osio_Sotto_PM10,Parona_PM10,Pavia-p.zza_Minerva_PM10,Sannazzaro_de'_Burgondi-AGIP_PM10,Sarezzo-via_Minelli_PM10,Valmadrera_PM10,Vigevano-via_Valletta_PM10,Voghera-via_Pozzoni_PM10,Conegliano,TV_Lancieri,Mansue,TV_S_Agnese,Bissuola,VE_Tagliamento
Mantova-S.Agnese_PM10,0.034883849083669795,0.1192523059365684,0.040643171035564106,0.04360179397334048,0.12408472503464009,0.12193681755899033,0.04373446028798534,0.00013266631464484943,0.0015912642729166912,0.012496824952804747,0.00645690600709316,0.0005383228534372343,0.012496824952804748,0.0064569060070931595,0.02516032692493548,0.10058790398503979,0.009659855477512162,0.025522596039616943,0.02516032692493547,0.08465926327809814,1.0154443604355874,0.025160326924935476,0.0004281692595183378,0.003851162472455292,0.00042816925951833786,0.10639659699009665,0.0092975863628307,0.0004281692595183378,0.00042816925951833797,0.0,0.0,0.0,0.0,0.0,0.0
Osio_Sotto_PM10,0.001203602247000025,0.001261136446968882,0.0014023169251271472,0.0015043986996295048,0.009988196910976849,0.0013537605210237505,0.0015089761037463724,4.577404116866882e-06,5.4903610259854544e-05,0.0004311796716436039,0.00022278351681217956,1.85738275169822e-05,0.0004311796716436039,0.00022278351681217956,0.1482292082574889,0.009653275194068427,0.14281996845272246,0.15176286961654534,0.1482292082574889,6.756793408955826e-05,0.0008104426492839047,1.0712734911293982,0.004176467455212417,0.03756517866097776,0.004176467455212418,0.11490806498581319,0.13928630709366605,0.004176467455212417,0.004176467455212418,0.0,0.0,0.0,0.0,0.0,0.0
Parona_PM10,9.270270962780068e-05,9.713405415766903e-05,0.00010800792291658918,0.00011587036844090576,0.0007693014201755337,0.00010426805765679356,0.00011622292491523331,3.525564743275202e-07,4.228733746653705e-06,3.3209911328610734e-05,1.7159020532220146e-05,1.4305757099368557e-06,3.3209911328610734e-05,1.7159020532220146e-05,0.03511471617778057,0.0007435053976539794,0.15312249142796802,0.06455087899738293,0.035114716177780565,5.204153273780458e-06,6.242114433884882e-05,0.03511471617778057,1.041790359366477,0.14501565693233662,0.11874607649456768,0.008850339893285417,0.12368632860836572,0.11874607649456766,0.11874607649456767,0.0,0.0,0.0,0.0,0.0,0.0
Pavia-p.zza_Minerva_PM10,9.270270962780068e-05,9.7134054157669e-05,0.00010800792291658918,0.00011587036844090574,0.0007693014201755336,0.00010426805765679356,0.0001162229249152333,3.525564743275201e-07,4.228733746653705e-06,3.320991132861073e-05,1.7159020532220146e-05,1.4305757099368555e-06,3.320991132861073e-05,1.7159020532220146e-05,0.03511471617778058,0.0007435053976539794,0.15312249142796802,0.13558441372677507,0.03511471617778057,5.2041532737804565e-06,6.242114433884882e-05,0.03511471617778058,0.11874607649456766,1.0680599398042456,0.11874607649456767,0.008850339893285417,0.05265279387897356,0.11874607649456766,0.11874607649456768,0.0,0.0,0.0,0.0,0.0,0.0
Sannazzaro_de'_Burgondi-AGIP_PM10,9.270270962780069e-05,9.713405415766901e-05,0.00010800792291658918,0.00011587036844090576,0.0007693014201755337,0.00010426805765679358,0.00011622292491523331,3.525564743275202e-07,4.228733746653705e-06,3.320991132861073e-05,1.7159020532220146e-05,1.4305757099368555e-06,3.320991132861073e-05,1.7159020532220146e-05,0.03511471617778058,0.0007435053976539795,0.15312249142796808,0.13558441372677507,0.03511471617778057,5.204153273780457e-06,6.242114433884882e-05,0.03511471617778058,0.11874607649456767,0.14501565693233665,1.041790359366477,0.008850339893285417,0.05265279387897357,0.11874607649456766,0.11874607649456768,0.0,0.0,0.0,0.0,0.0,0.0
Sarezzo-via_Minelli_PM10,0.010917720190154193,0.011439605470935284,0.01272023531412972,0.013646205877336169,0.09060164132296226,0.012279786457572436,0.013687726917588279,4.1521040252105344e-05,0.0004980235420301259,0.00391117499026016,0.002020840444255035,0.00016848078523950603,0.00391117499026016,0.002020840444255035,0.13734431738917308,0.08756360978062658,0.052730883052322444,0.13932185943048078,0.137344317389173,0.0006128999842391975,0.007351420369231627,0.13734431738917302,0.0023372754595367647,0.02102259173786664,0.0023372754595367647,1.0423161839669917,0.050753341011014766,0.0023372754595367647,0.002337275459536765,0.0,0.0,0.0,0.0,0.0,0.0
Valmadrera_PM10,0.000370555263861997,0.0003882684250858878,0.0004317339216537897,0.00046316202755879756,0.003075084772463483,0.0004167847711519766,0.0004645712814834695,1.409253924671813e-06,1.6903276674271788e-05,0.00013274808799673297,6.858877595335622e-05,5.718358846236365e-06,0.00013274808799673297,6.85887759533562e-05,0.14036205598454743,0.0029719718001410657,0.15054567666891278,0.1514752518021894,0.1403620559845474,2.08022656218635e-05,0.0002495124867861823,0.14036205598454743,0.013134790218884468,0.11814068864132049,0.013134790218884468,0.035376959827733354,1.06247676372318,0.013134790218884468,0.01313479021888447,0.0,0.0,0.0,0.0,0.0,0.0
Vigevano-via_Valletta_PM10,9.270270962780068e-05,9.713405415766901e-05,0.00010800792291658918,0.00011587036844090574,0.0007693014201755336,0.00010426805765679358,0.0001162229249152333,3.525564743275202e-07,4.228733746653705e-06,3.3209911328610734e-05,1.715902053222015e-05,1.4305757099368557e-06,3.3209911328610734e-05,1.7159020532220146e-05,0.03511471617778057,0.0007435053976539793,0.15312249142796805,0.06455087899738293,0.035114716177780565,5.204153273780458e-06,6.242114433884882e-05,0.03511471617778057,0.11874607649456766,0.14501565693233662,0.11874607649456766,0.008850339893285415,0.1236863286083657,1.0417903593664766,0.11874607649456768,0.0,0.0,0.0,0.0,0.0,0.0
Voghera-via_Pozzoni_PM10,9.270270962780069e-05,9.713405415766901e-05,0.00010800792291658919,0.00011587036844090576,0.0007693014201755337,0.00010426805765679359,0.0001162229249152333,3.5255647432752016e-07,4.228733746653706e-06,3.3209911328610734e-05,1.715902053222015e-05,1.4305757099368557e-06,3.3209911328610734e-05,1.715902053222015e-05,0.03511471617778058,0.0007435053976539794,0.15312249142796805,0.13558441372677507,0.03511471617778057,5.204153273780458e-06,6.242114433884882e-05,0.03511471617778058,0.11874607649456767,0.14501565693233662,0.11874607649456767,0.008850339893285417,0.052652793878973564,0.11874607649456766,1.0417903593664768,0.0,0.0,0.0,0.0,0.0,0.0
Conegliano,0.1480882617054421,0.004964121583789543,0.01805452475085014,0.021844110447152225,0.00328309239930372,0.016360359961584234,0.02201480088147332,0.00017069043432107716,0.002047344049549266,0.01873170848216959,0.005654440919889074,0.0004714200217941983,0.01873170848216959,0.005654440919889074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0550117017409735,0.13196741886906393,0.13196741886906396,0.13196741886906396,0.13196741886906396,0.13196741886906396
TV_Lancieri,0.1480882617054421,0.004964121583789542,0.01805452475085014,0.02184411044715222,0.0032830923993037203,0.016360359961584234,0.022014800881473316,0.00017069043432107716,0.002047344049549266,0.01873170848216959,0.005654440919889074,0.00047142002179419813,0.01873170848216959,0.005654440919889074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131967418869064,1.0550117017409728,0.13196741886906393,0.131967418869064,0.131967418869064,0.131967418869064
Mansue,0.1480882617054421,0.004964121583789543,0.01805452475085014,0.02184411044715223,0.0032830923993037208,0.016360359961584234,0.022014800881473316,0.00017069043432107718,0.002047344049549266,0.01873170848216959,0.005654440919889074,0.00047142002179419824,0.01873170848216959,0.005654440919889074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131967418869064,0.131967418869064,1.055011701740973,0.131967418869064,0.131967418869064,0.131967418869064
TV_S_Agnese,0.1480882617054421,0.004964121583789543,0.01805452475085014,0.02184411044715223,0.0032830923993037208,0.016360359961584237,0.022014800881473312,0.00017069043432107718,0.002047344049549266,0.01873170848216959,0.005654440919889075,0.00047142002179419824,0.01873170848216959,0.005654440919889075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131967418869064,0.131967418869064,0.131967418869064,1.0550117017409733,0.131967418869064,0.131967418869064
Bissuola,0.1480882617054421,0.004964121583789542,0.01805452475085015,0.021844110447152225,0.0032830923993037208,0.016360359961584234,0.022014800881473316,0.0001706904343210772,0.0020473440495492666,0.018731708482169592,0.005654440919889075,0.00047142002179419824,0.018731708482169592,0.005654440919889075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131967418869064,0.131967418869064,0.131967418869064,0.131967418869064,1.0550117017409733,0.131967418869064
VE_Tagliamento,0.1480882617054421,0.004964121583789542,0.018054524750850145,0.021844110447152225,0.0032830923993037208,0.016360359961584234,0.022014800881473316,0.00017069043432107724,0.0020473440495492666,0.018731708482169592,0.005654440919889074,0.00047142002179419824,0.018731708482169592,0.005654440919889074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131967418869064,0.131967418869064,0.131967418869064,0.131967418869064,0.131967418869064,1.0550117017409733
